p,I
550,7.2
551,7.6
552,8.4
553,9.2
554,10.4
555,12.4
556,15.2
557,18.8
558,22
559,23.2
560,21.2
561,17.2
562,13.6
563,10.8
564,9.2
565,8
566,7.2
567,6.8
568,6.8
569,6.8
570,6.4
571,6.4
572,6.4
573,6.4
574,6.4
575,6.8
576,6.8
577,6.8
578,6.8
579,6.8
580,6.8
581,6.8
582,6.8
583,6.8
584,7.2
585,7.2
586,7.6
587,8
588,8.8
589,9.6
590,10.8
591,12.8
592,15.6
593,19.2
594,23.2
595,25.6
596,24.8
597,21.2
598,17.6
599,14
600,12
601,10
602,8.8
603,8
604,8
605,7.6
606,7.6
607,7.6
608,7.6
609,7.2
610,7.2
611,6.8
612,6.8
613,6.8
614,6.8
615,6.8
616,6.8
617,6.8
618,6.8
619,6.8
620,6.8
621,6.8
622,7.2
623,7.2
624,7.6
625,8
626,8.4
627,8.8
628,9.6
629,10.4
630,12
631,13.6
632,16.4
633,20
634,24
635,27.6
636,29.2
637,27.6
638,24
639,20
640,14.4
641,12.8
642,11.2
643,10
644,9.2
645,8.8
646,8.4
647,8
648,7.6
649,7.6
650,7.6
651,7.6
652,7.2
653,7.2
654,7.2
655,7.2
656,7.2
657,7.2
658,7.6
659,7.6
660,7.6
661,7.6
662,8
663,8
664,8
665,8
666,8
667,8
668,8
669,8
670,8.4
671,8.8
672,9.2
673,10
674,10.8
675,12
676,13.2
677,14.8
678,17.2
679,20.8
680,24.8
681,28.8
682,32
683,32.4
684,30
685,26.4
686,22.4
687,18.8
688,16
689,13.6
690,12
691,10.8
692,10
693,9.2
694,8.8
695,8.4
696,8
697,8
698,7.6
699,7.6
700,7.6
701,7.6
702,7.6
703,7.6
704,7.2
705,7.2
706,7.2
707,7.2
708,7.6
709,7.6
710,8
711,8
712,8
713,8
714,8
715,7.6
716,7.6
717,7.6
718,7.6
719,7.6
720,7.6
721,7.6
722,8
723,8.4
724,8.4
725,8.8
726,9.2
727,9.6
728,10
729,10.8
730,12
731,13.2
732,15.2
733,17.6
734,20.4
735,23.6
736,27.6
737,31.6
738,34.4
739,35.6
740,34.4
741,31.6
742,27.6
743,23.6
744,20
745,17.2
746,15.2
747,13.2
748,12
749,11.2
750,10.4
751,9.6
752,9.2
753,8.8
754,8.4
755,8.4
756,8.4
757,8.4
758,8.4
759,8
760,8
761,7.6
762,7.6
763,7.6
764,7.6
765,7.2
766,7.2
767,7.2
768,7.6
769,7.2
770,7.2
771,7.2
772,7.2
773,7.2
774,7.2
775,7.2
776,7.2
777,7.6
778,7.6
779,7.6
780,7.6
781,7.6
782,7.6
783,7.6
784,7.6
785,7.6
786,7.6
787,7.6
788,8
789,8
790,8
791,8
792,8
793,8
794,8.4
795,8.4
796,8.8
797,9.2
798,9.6
799,10
800,10.4
801,10.8
802,11.2
803,11.6
804,12.4
805,13.2
806,14.4
807,15.6
808,17.2
809,19.2
810,21.6
811,24.8
812,28.8
813,32.4
814,36
815,38.8
816,40.8
817,41.2
818,40.4
819,38.4
820,36
821,32.8
822,29.6
823,26.4
824,23.6
825,20.8
826,18.8
827,16.8
828,15.2
829,14
830,13.2
831,12.4
832,11.6
833,11.2
834,10.8
835,10.4
836,10
837,10
838,10
839,10
840,10
841,9.6
842,9.2
843,8.8
844,8.4
845,8.4
846,8.4
847,8.4
848,8
849,8
850,8
851,7.6
852,7.6
853,7.6
854,7.6
855,7.6
856,7.6
857,7.6
858,7.6
859,7.6
860,7.6
861,7.6
862,7.6
863,7.6
864,7.6
865,7.6
866,7.6
867,7.6
868,7.6
869,7.6
870,7.6
871,7.6
872,7.6
873,7.6
874,7.6
875,7.6
876,7.6
877,7.6
878,7.6
879,7.6
880,7.6
881,7.6
882,7.6
883,7.2
884,7.2
885,7.2
886,7.2
887,7.2
888,7.2
889,7.2
890,7.2
891,7.2
892,7.2
893,7.2
894,7.2
895,7.6
896,7.2
897,7.6
898,7.6
899,7.6
900,7.6
901,7.2
902,7.2
903,7.2
904,7.2
905,7.2
906,7.2
907,6.8
908,6.8
909,6.8
910,6.8
911,6.8
912,6.8
913,6.8
914,7.2
915,7.6
916,7.6
917,7.6
918,7.6
919,7.2
920,7.2
921,7.2
922,7.2
923,7.2
924,7.2
925,7.2
926,7.2
927,7.2
928,7.2
929,7.2
930,7.2
931,7.2
932,7.2
933,7.2
934,7.2
935,7.2
936,7.2
937,7.2
938,7.2
939,7.2
940,7.2
941,7.2
942,7.2
943,7.2
944,7.2
945,6.8
946,6.8
947,6.8
948,7.2
949,7.2
950,7.2
951,7.2
952,7.2
953,7.2
954,7.2
955,7.2
956,7.2
957,7.2
958,7.2
959,7.2
960,7.2
961,7.2
962,7.2
963,6.8
964,6.8
965,6.8
966,6.8
967,6.8
968,6.8
969,6.8
970,6.8
971,6.8
972,6.8
973,6.8
974,6.8
975,6.8
976,6.8
977,6.8
978,6.8
979,6.8
980,6.8
981,6.8
982,6.8
983,6.8
984,6.8
985,6.8
986,6.8
987,6.8
988,6.8
989,6.8
990,6.8
991,6.8
992,6.8
993,6.8
994,6.8
995,6.8
996,6.8
997,6.8
998,6.8
999,6.8
1000,6.8
1001,6.8
1002,6.8
1003,6.4
1004,6.4
1005,6.4
1006,6.4
1007,6.4
1008,6.4
1009,6.4
1010,6.4
1011,6.4
1012,6.4
1013,6.4
1014,6.4
1015,6.4
1016,6
1017,6
1018,6
1019,6
1020,6
1021,6
1022,6
1023,6
1024,6
1025,6
1026,6
1027,6
1028,6
1029,6
1030,6
1031,6
1032,6
1033,6
1034,6
1035,6
1036,6
1037,6
1038,6
1039,5.6
1040,5.2
1041,5.2
1042,5.6
1043,5.6
1044,5.6
1045,5.6
1046,5.6
1047,5.6
1048,5.6
1049,5.6
1050,5.6
1051,5.6
1052,5.6
1053,5.6
1054,5.2
1055,5.6
1056,5.6
1057,5.6
1058,5.6
1059,5.6
1060,6
1061,6
1062,6
1063,6
1064,6.4
1065,6.4
1066,6.4
1067,6.4
1068,6.4
1069,6.4
1070,6.8
1071,6.8
1072,6.8
1073,7.2
1074,7.6
1075,8
1076,8.4
1077,9.2
1078,9.6
1079,10
1080,10.8
1081,11.6
1082,12.8
1083,14
1084,15.6
1085,17.2
1086,19.6
1087,22.4
1088,27.2
1089,30
1090,34
1091,38
1092,41.2
1093,43.2
1094,43.6
1095,42.4
1096,40
1097,36.4
1098,32.4
1099,28.4
1100,24.4
1101,20.8
1102,18
1103,15.6
1104,14
1105,12.4
1106,11.2
1107,10
1108,9.2
1109,8.4
1110,7.6
1111,7.2
1112,7.2
1113,6.8
1114,6.8
1115,6.4
1116,6.4
1117,6
1118,6
1119,6
1120,6
1121,5.6
1122,5.2
1123,5.2
1124,5.2
1125,5.2
1126,5.2
1127,5.2
1128,5.2
1129,5.2
1130,5.2
1131,5.2
1132,5.2
1133,4.8
1134,4.8
1135,4.8
1136,4.8
1137,4.8
1138,4.8
1139,4.8
1140,4.8
1141,4.8
1142,4.8
1143,4.8
1144,4.8
1145,4.8
1146,4.8
1147,4.8
1148,4.8
1149,4.8
1150,4.8
1151,4.8
1152,5.6
1153,5.6
1154,6
1155,6
1156,6
1157,6.4
1158,6.8
1159,7.2
1160,7.6
1161,8.4
1162,9.2
1163,10.4
1164,12
1165,14
1166,16.8
1167,20.4
1168,25.6
1169,31.6
1170,37.6
1171,41.6
1172,42.4
1173,39.6
1174,34
1175,28
1176,22.8
1177,18.4
1178,15.2
1179,12.8
1180,11.2
1181,9.6
1182,8.8
1183,7.6
1184,7.2
1185,6.8
1186,6.4
1187,6
1188,6
1189,5.6
1190,5.2
1191,5.2
1192,5.2
1193,5.2
1194,5.2
1195,4.8
1196,4.8
1197,4.8
1198,4.8
1199,4.8
1200,4.8
1201,4.8
1202,4.8
1203,4.8
1204,4.8
1205,4.8
1206,4.8
1207,4.8
1208,4.8
1209,4.8
1210,4.8
1211,4.8
1212,5.2
1213,5.6
1214,6
1215,6
1216,6.4
1217,6.8
1218,7.2
1219,7.6
1220,8.8
1221,10
1222,11.6
1223,14.4
1224,18.4
1225,23.6
1226,30.4
1227,36
1228,38.4
1229,36
1230,30.8
1231,25.2
1232,20
1233,16
1234,13.2
1235,10.8
1236,9.2
1237,8
1238,7.2
1239,6.8
1240,6.4
1241,6
1242,5.6
1243,5.2
1244,5.2
1245,4.8
1246,4.8
1247,4.8
1248,4.8
1249,4.8
1250,4.8
1251,4.8
1252,4.8
1253,4.8
1254,4.8
1255,4.8
1256,4.8
1257,4.8
1258,4.8
1259,4.8
1260,4.8
1261,4.8
1262,5.2
1263,5.6
1264,6
1265,6.4
1266,6.8
1267,7.6
1268,8.8
1269,10
1270,12.8
1271,17.2
1272,23.6
1273,31.2
1274,36.8
1275,36.8
1276,32.4
1277,26
1278,20.4
1279,16
1280,10.4
1281,9.2
1282,8
1283,7.2
1284,6.4
1285,6
1286,5.6
1287,5.2
1288,5.2
1289,5.2
1290,5.2
1291,4.8
1292,4.8
1293,4.8
1294,4.8
1295,4.8
1296,4.8
1297,4.8
1298,4.8
1299,4.8
1300,4.8
1301,4.8
1302,4.8
1303,4.8
1304,4.8
1305,5.2
1306,5.6
1307,6
1308,6.8
1309,7.6
1310,9.2
1311,12
1312,16.8
1313,24
1314,31.6
1315,34.8
1316,32
1317,26
1318,20.4
1319,15.6
1320,12.4
1321,10
1322,8.4
1323,7.2
1324,6.4
1325,6
1326,5.6
1327,5.2
1328,5.2
1329,4.8
1330,4.8
1331,4.8
1332,4.8
1333,4.8
1334,4.8
1335,4.4
1336,4.4
1337,4.4
1338,4.4
1339,4.4
1340,4.4
1341,4.8
1342,5.2
1343,5.6
1344,6.4
1345,6.8
1346,8
1347,9.6
1348,12.8
1349,18.4
1350,26.4
1351,31.6
1352,30.8
1353,25.2
1354,19.6
1355,15.2
1356,12
1357,9.6
1358,8
1359,6.8
1360,6.4
1361,5.6
1362,5.2
1363,4.8
1364,4.8
1365,4.8
1366,4.8
1367,4.8
1368,4.8
1369,4.4
1370,4.4
1371,4.4
1372,4.4
1373,4.4
1374,4.8
1375,4.8
1376,5.2
1377,5.2
1378,6
1379,6.8
1380,8
1381,10
1382,14.4
1383,21.6
1384,29.6
1385,32.4
1386,28.4
1387,22
1388,16.4
1389,12.4
1390,9.6
1391,8
1392,6.8
1393,6
1394,5.6
1395,5.2
1396,4.8
1397,4.8
1398,4.4
1399,4.4
1400,4.4
1401,4.4
1402,4.4
1403,4.4
1404,4.4
1405,4.4
1406,4.4
1407,4.8
1408,5.2
1409,5.6
1410,6
1411,7.2
1412,9.2
1413,12.8
1414,19.6
1415,28
1416,30.8
1417,26.4
1418,20
1419,15.2
1420,11.6
1421,9.2
1422,7.6
1423,6.4
1424,5.6
1425,5.2
1426,4.8
1427,4.4
1428,4.4
1429,4.4
1430,4.4
1431,4.4
1432,4.4
1433,4.4
1434,4.4
1435,4.4
1436,4.4
1437,4.8
1438,5.2
1439,5.6
1440,6.4
1441,8.4
1442,11.6
1443,18
1444,26.4
1445,29.6
1446,25.6
1447,19.2
1448,14
1449,10.4
1450,8.4
1451,6.8
1452,6
1453,5.2
1454,4.8
1455,4.4
1456,4.4
1457,4.4
1458,4.4
1459,4.4
1460,4.4
1461,4.4
1462,4.4
1463,4.4
1464,4.4
1465,4.8
1466,5.2
1467,5.6
1468,6.8
1469,8.8
1470,13.2
1471,21.2
1472,32.4
1473,28.4
1474,21.2
1475,15.2
1476,11.2
1477,8.4
1478,6.8
1479,5.6
1480,5.2
1481,4.8
1482,4.4
1483,4.4
1484,4.4
1485,4
1486,4
1487,4
1488,4
1489,4
1490,4.4
1491,4.4
1492,4.8
1493,5.2
1494,6.4
1495,8.4
1496,12.4
1497,20
1498,26.4
1499,25.2
1500,19.2
1501,14
1502,10.4
1503,8
1504,6.4
1505,5.6
1506,5.2
1507,4.8
1508,4.4
1509,4.4
1510,4.4
1511,4.4
1512,4.4
1513,4
1514,4
1515,4
1516,4.4
1517,4.8
1518,5.2
1519,6
1520,8
1521,12.4
1522,20
1523,26
1524,23.6
1525,17.6
1526,12.8
1527,9.6
1528,7.2
1529,6
1530,5.2
1531,4.8
1532,4.4
1533,4
1534,4
1535,4
1536,4
1537,4
1538,4
1539,4
1540,4
1541,4.4
1542,4.8
1543,6
1544,8
1545,12
1546,19.6
1547,24.8
1548,21.6
1549,15.6
1550,11.2
1551,8.4
1552,6.8
1553,5.6
1554,5.2
1555,4.8
1556,4.4
1557,4
1558,4
1559,3.6
1560,4
1561,4
1562,4
1563,4.4
1564,4.4
1565,4.8
1566,5.6
1567,7.6
1568,12
1569,19.2
1570,23.6
1571,20
1572,14.4
1573,10.4
1574,7.6
1575,6
1576,5.2
1577,4.8
1578,4.4
1579,4
1580,4
1581,4
1582,4
1583,4
1584,4
1585,4
1586,4.4
1587,4.8
1588,5.6
1589,6.8
1590,10.4
1591,17.2
1592,22
1593,19.2
1594,14
1595,10
1596,7.6
1597,6
1598,5.2
1599,4.8
1600,4.4
1601,4
1602,4
1603,3.6
1604,3.6
1605,3.6
1606,3.6
1607,4
1608,4.4
1609,4.8
1610,5.6
1611,8
1612,13.2
1613,19.6
1614,19.2
1615,14.4
1616,10.4
1617,7.6
1618,6
1619,5.2
1620,4.8
1621,4.4
1622,4
1623,3.6
1624,3.6
1625,3.6
1626,3.6
1627,3.6
1628,3.6
1629,4
1630,4.4
1631,5.6
1632,8.4
1633,14
1634,18.8
1635,16.4
1636,12
1637,8.4
1638,6.4
1639,5.2
1640,4.4
1641,4
1642,3.6
1643,3.6
1644,3.6
1645,3.6
1646,3.6
1647,3.6
1648,3.6
1649,4
1650,4.4
1651,5.2
1652,7.2
1653,12
1654,16.8
1655,15.2
1656,11.2
1657,8
1658,6
1659,4.8
1660,4.4
1661,4
1662,4
1663,3.6
1664,3.6
1665,3.6
1666,3.6
1667,3.6
1668,3.6
1669,4
1670,4.4
1671,5.6
1672,8.4
1673,13.6
1674,15.6
1675,12
1676,8.4
1677,6.4
1678,5.2
1679,4.4
1680,4
1681,3.6
1682,3.6
1683,3.6
1684,3.6
1685,3.6
1686,3.6
1687,3.6
1688,3.6
1689,4
1690,4.8
1691,7.2
1692,12
1693,14
1694,11.2
1695,8
1696,6
1697,4.8
1698,4
1699,3.6
1700,3.6
1701,3.6
1702,3.6
1703,3.6
1704,3.6
1705,3.6
1706,3.6
1707,3.6
1708,4
1709,5.2
1710,8.4
1711,12.8
1712,12
1713,8.8
1714,6.8
1715,5.2
1716,4.4
1717,4
1718,3.6
1719,3.6
1720,3.6
1721,3.6
1722,3.6
1723,3.6
1724,3.6
1725,3.6
1726,4
1727,4.8
1728,8
1729,11.6
1730,11.2
1731,8
1732,6
1733,4.8
1734,4
1735,3.6
1736,3.6
1737,3.2
1738,3.2
1739,3.2
1740,3.2
1741,3.2
1742,3.2
1743,3.2
1744,3.6
1745,4.8
1746,7.6
1747,10.4
1748,9.2
1749,6.8
1750,5.2
1751,4.4
1752,3.6
1753,3.2
1754,3.2
1755,3.2
1756,3.2
1757,3.2
1758,3.2
1759,3.2
1760,3.2
1761,3.6
1762,4
1763,5.6
1764,8.8
1765,8.8
1766,6.8
1767,5.2
1768,4.4
1769,3.6
1770,3.2
1771,2.8
1772,3.2
1773,3.2
1774,3.2
1775,3.2
1776,3.2
1777,3.2
